RUN,TP,CODE,DYNAMIC PRESSURE,TEMP TS,BALANCE TEMP,PRESS TS,N1,N2,S1,S2,A1,R1,Lift (lbf),Drag (lbf),Pitch (in-lbf),Yaw (in-lbf),Side (lbf),Roll (in-lbf),Alpha,Beta
8,2,0,14.963202,83.578262,4196.116919,14.750132,-0.008834,0.006358,0.000391,-0.000111,0.021472,-0.001661,0.40855,0.518029,3.555347,-0.229724,-0.055276,0,5,0
8,3,0,14.948651,84.749546,4196.07228,14.750779,-0.014288,0.010287,0.00044,-0.000119,0.036843,-0.002548,0.65998,0.889447,5.752614,-0.318185,-0.068504,0,10,0
8,4,0,14.937588,84.926781,4196.020981,14.749939,-0.018004,0.012767,0.000607,-0.000213,0.051713,-0.00341,0.863779,1.249972,7.199265,-0.422742,-0.085476,0,15,0
8,5,0,14.919131,85.354188,4195.960608,14.750865,-0.018346,0.01277,-0.001483,0.001275,0.051515,-0.003484,0.91191,1.245208,7.309258,0.327294,-0.003864,0,15,4
8,6,0,14.922202,85.515822,4195.914842,14.750338,-0.014811,0.010241,-0.001707,0.001357,0.036287,-0.003068,0.745932,0.876232,5.893066,0.440148,0.02282,0,10,4
8,7,0,14.91767,86.042109,4195.858224,14.749306,-0.009467,0.006371,-0.001558,0.001204,0.019667,-0.001778,0.503798,0.474403,3.73265,0.451612,0.031391,0,5,4
8,8,0,14.910616,85.842328,4195.830599,14.749963,-0.000696,-0.000168,-0.001705,0.001233,0.004416,-0.000275,0.135723,0.108197,0.143604,0.614955,0.059379,0,0,4
8,9,0,14.889189,86.253548,4195.796704,14.749748,-0.001011,-0.000053,-0.00357,0.002548,0.005489,-0.000163,0.161861,0.134213,0.270427,1.280286,0.135188,0,0,8
8,10,0,14.91148,86.368841,4195.769475,14.749257,-0.00939,0.006175,-0.003716,0.002677,0.019261,-0.00175,0.515643,0.464699,3.698744,1.217891,0.127883,0,5,8
8,11,0,14.889274,86.566806,4195.716521,14.749717,-0.016187,0.011078,-0.003374,0.002568,0.03451,-0.002882,0.828461,0.83228,6.436535,1.027001,0.082975,0,10,8
8,12,0,14.876401,86.809701,4195.695554,14.749457,-0.019025,0.012954,-0.003514,0.002724,0.049732,-0.003632,0.986026,1.201772,7.539974,1.052124,0.07392,0,15,8
8,13,0,14.88723,86.911688,4195.671395,14.749631,-0.019723,0.013249,-0.004717,0.003565,0.049703,-0.003879,1.047942,1.200961,7.789214,1.473997,0.122584,0,15,10
8,14,0,14.875004,86.977939,4195.663977,14.749852,-0.016763,0.011149,-0.004516,0.003316,0.034686,-0.003242,0.907754,0.836833,6.602383,1.419532,0.136625,0,10,10
8,15,0,14.861807,86.807282,4195.652516,14.749173,-0.009779,0.00617,-0.004726,0.003364,0.019299,-0.001772,0.576985,0.465863,3.80165,1.571788,0.171419,0,5,10
8,16,0,14.86424,87.411733,4195.646548,14.75029,-0.001149,-0.000234,-0.004678,0.003278,0.0048,-0.000034,0.21054,0.117828,0.274362,1.667665,0.187558,0,0,10
9,1,1,0,0,0,0,0.164674,0.132925,-0.07679,0.116671,6.678851,0.021994,-49.753657,162.288719,-6.475721,41.571159,-5.577948,0,0,0
9,2,0,0.127181,85.453694,4196.671066,14.864931,-0.001979,0.001239,0.000236,-0.000215,0.040683,-0.000685,0.122134,0.990385,0.737686,-0.115948,-0.005592,0,15,0
